complaint_category,category_rank,feature,feature_group,mean_abs_shap,rows
water_sewer,6,rolling_4w_mean,historical_temporal,0.11191597062168875,2777
water_sewer,7,rolling_12w_std,historical_temporal,0.08465360956720064,2777
water_sewer,8,complaint_count,current_demand,0.07384813056508253,2777
water_sewer,9,lag_1w_count,historical_temporal,0.07268622170088533,2777
water_sewer,10,history_weeks_available,historical_temporal,0.06927759640056401,2777
water_sewer,11,lag_12w_count,historical_temporal,0.052338537799591835,2777
water_sewer,12,rolling_12w_mean,historical_temporal,0.05116624701447187,2777
water_sewer,13,poi_semantic_entropy,osm_poi_context,0.04674148203944583,2777
water_sewer,14,lag_8w_count,historical_temporal,0.04269962932567097,2777
water_sewer,15,rolling_8w_mean,historical_temporal,0.041461813763212216,2777
water_sewer,16,poi_named_count,osm_poi_context,0.04020506926866487,2777
water_sewer,17,lag_2w_count,historical_temporal,0.038099749129709634,2777
water_sewer,18,pluto_lot_count,pluto_built_environment,0.036828209467225335,2777
water_sewer,19,pluto_total_buildings,pluto_built_environment,0.03606662640257096,2777
water_sewer,20,ratio_to_12w_mean,historical_temporal,0.03486103536077334,2777
water_sewer,21,diff_4w_count,historical_temporal,0.031227152401764782,2777
water_sewer,22,month,calendar,0.03061394104362616,2777
water_sewer,23,weather_tmin_mean,weather,0.029708575611488226,2777
water_sewer,24,pluto_parcel_density_per_km2,pluto_built_environment,0.02484566911964773,2777
water_sewer,25,pluto_total_residential_area,pluto_built_environment,0.024585709675293842,2777
water_sewer,26,rolling_4w_sum,historical_temporal,0.021284757776063222,2777
water_sewer,27,rolling_4w_std,historical_temporal,0.020736951537273864,2777
water_sewer,28,weather_awnd_mean,weather,0.019608678825210408,2777
water_sewer,29,pct_change_1w,historical_temporal,0.01844087693588438,2777
water_sewer,30,poi_mixed_use_index,osm_poi_context,0.01720589841450105,2777
