file,output,status,chunksize,chunk_count,total_raw_rows,total_after_clean,total_removed_bad_coord,total_matched_nta,total_unmatched_nta,match_rate_after_clean,elapsed_seconds
data\raw\nyc_311\nyc_311_2017_06_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_06_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49993,7,0.99986,0.6735892295837402
data\raw\nyc_311\nyc_311_2017_06_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_06_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.6785261631011963
data\raw\nyc_311\nyc_311_2017_06_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_06_part003_with_nta.csv.gz,done,100000,1,48032,48032,0,48019,13,0.9997293471019321,0.6958813667297363
data\raw\nyc_311\nyc_311_2017_07_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_07_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49992,8,0.99984,0.6582539081573486
data\raw\nyc_311\nyc_311_2017_07_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_07_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49995,5,0.9999,0.7320022583007812
data\raw\nyc_311\nyc_311_2017_07_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_07_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49990,10,0.9998,0.6553711891174316
data\raw\nyc_311\nyc_311_2017_07_part003.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_07_part003_with_nta.csv.gz,done,100000,1,44307,44307,0,44296,11,0.9997517322319273,0.6209151744842529
data\raw\nyc_311\nyc_311_2017_08_part000.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_08_part000_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.6603374481201172
data\raw\nyc_311\nyc_311_2017_08_part001.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_08_part001_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.6987860202789307
data\raw\nyc_311\nyc_311_2017_08_part002.csv.gz,data\processed\nyc_311_with_nta\nyc_311_2017_08_part002_with_nta.csv.gz,done,100000,1,50000,50000,0,49991,9,0.99982,0.655012845993042
