nta2020,nta_area_km2_osm,nta_area_km2_pluto,area_abs_diff_km2
QN0102,1.0297886437555954,1.0297886437555954,0.0
QN0103,1.9576989576332555,1.9576989576332555,0.0
QN0104,2.4179802222197093,2.4179802222197093,0.0
QN0105,2.573897847771175,2.573897847771175,0.0
QN0151,1.686511194572639,1.686511194572639,0.0
QN0161,0.4178457089506757,0.4178457089506757,0.0
QN0171,0.4074865467332758,0.4074865467332758,0.0
QN0191,0.2483655180293505,0.2483655180293505,0.0
QN0201,2.562166568350019,2.562166568350019,0.0
QN0202,4.42903611914018,4.42903611914018,0.0
QN0203,3.0593886359746376,3.0593886359746376,0.0
QN0261,0.8155364226549426,0.8155364226549426,0.0
QN0271,1.326977136995385,1.326977136995385,0.0
QN0301,3.6505226615363098,3.6505226615363098,0.0
QN0302,2.6707492836498443,2.6707492836498443,0.0
QN0303,1.2963302438290711,1.2963302438290711,0.0
QN0401,3.909191728320077,3.909191728320077,0.0
QN0402,2.230813150247117,2.230813150247117,0.0
QN0501,5.4144614982599055,5.4144614982599055,0.0
QN0502,3.9506459013894495,3.9506459013894495,0.0
QN0503,2.786103298243493,2.786103298243493,0.0
QN0504,3.244489633267416,3.244489633267416,0.0
QN0571,0.7100010786462495,0.7100010786462495,0.0
QN0572,0.511741044081665,0.511741044081665,0.0
QN0573,0.8128240538698476,0.8128240538698476,0.0
QN0574,2.899419981738772,2.899419981738772,0.0
QN0601,1.8749664765164915,1.8749664765164915,0.0
QN0602,5.38115463598938,5.38115463598938,0.0
QN0701,6.19408028791722,6.19408028791722,0.0
QN0702,4.887559277364856,4.887559277364856,0.0
QN0703,3.651006807852655,3.651006807852655,0.0
QN0704,5.241796594827813,5.241796594827813,0.0
QN0705,2.939724322826535,2.939724322826535,0.0
QN0706,2.453877330263327,2.453877330263327,0.0
QN0707,3.5779876065908205,3.5779876065908205,0.0
QN0761,0.646011685986451,0.646011685986451,0.0
QN0791,1.0228852614623196,1.0228852614623196,0.0
QN0801,3.185238730963514,3.185238730963514,0.0
QN0802,3.4331601890578494,3.4331601890578494,0.0
QN0803,3.082376394883484,3.082376394883484,0.0
QN0804,3.659432505741493,3.659432505741493,0.0
QN0805,2.566933287750592,2.566933287750592,0.0
QN0871,0.8550648941983724,0.8550648941983724,0.0
