rows,positive_rows,positive_share,threshold,predicted_positive_rows,alert_rate,precision,recall,f1,pr_auc,roc_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,brier,target_definition,description,feature_config,split,seed,raw_feature_count,model_feature_count,fit_seconds,validation_selected_f1,contains_weather,contains_borough,contains_nta_fe,contains_osm_pluto,removed_formula_aligned_features
124974,13715,0.10974282650791364,0.5831742316169325,27495,0.22000576119832926,0.2711402073104201,0.5435654393000364,0.3618053870419801,0.295068592550767,0.7813784114371842,0.488,0.3923827812449992,0.33829412706032963,0.17740731380702515,T2_min_count_3,T0 AND count_t+1 >= 3,08_final_no_shortcut_nta_fe,validation,42,58,331,23.011850833892822,0.3618053870419801,True,True,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5831742316169325,28478,0.23225353950544791,0.26820703701102605,0.5631912697242295,0.36336822074215036,0.3187010744802809,0.786913945431644,0.5770171149144254,0.42146468765291145,0.35402055129668897,0.18118954081542915,T2_min_count_3,T0 AND count_t+1 >= 3,08_final_no_shortcut_nta_fe,test,42,58,331,23.011850833892822,0.3618053870419801,True,True,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5338848625838948,32493,0.25999807960055693,0.24279075493183147,0.575209624498724,0.34145602493074795,0.2744059076269164,0.7656955514921997,0.4736,0.3638982237157945,0.313970235237638,0.172454388493101,T2_min_count_3,T0 AND count_t+1 >= 3,03_history_calendar,validation,123,16,24,10.031907081604004,0.34145602493074795,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5338848625838948,32048,0.26136882625432245,0.24291687468796805,0.5740303790001474,0.3413725060293795,0.2841033373057022,0.768228064528248,0.49144254278728605,0.3806883053335508,0.31911596803131625,0.17306791209929903,T2_min_count_3,T0 AND count_t+1 >= 3,03_history_calendar,test,123,16,24,10.031907081604004,0.34145602493074795,False,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5879600849151468,27495,0.22000576119832926,0.26099290780141843,0.5232227488151658,0.3482649842271293,0.2749296105563098,0.769934323794905,0.4224,0.3646983517362778,0.3205312850056009,0.183972212114981,T2_min_count_3,T0 AND count_t+1 >= 3,04_history_calendar_weather,validation,123,39,47,13.286251068115234,0.3482649842271293,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5879600849151468,28768,0.23461864683238728,0.26098442714126807,0.5536056628815809,0.35473659343255376,0.3010120879522726,0.7776285410214185,0.5273023634881826,0.3960202250856304,0.3354265209590605,0.1878854052867827,T2_min_count_3,T0 AND count_t+1 >= 3,04_history_calendar_weather,test,123,39,47,13.286251068115234,0.3482649842271293,True,False,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.5936972396444866,27495,0.22000576119832926,0.2588834333515185,0.5189938024061247,0.3454501334627518,0.2751478426890199,0.7694981002524065,0.4288,0.3704592734837574,0.32181148983837415,0.1869619638120016,T2_min_count_3,T0 AND count_t+1 >= 3,05_history_calendar_weather_borough,validation,123,40,52,13.872816324234009,0.3454501334627518,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.5936972396444866,28287,0.2306958308866706,0.26103863965779334,0.5444624686624392,0.3528877631484623,0.29802025648813957,0.7776451641860208,0.5224123879380603,0.3898222149730876,0.33591583754689286,0.18950512653634544,T2_min_count_3,T0 AND count_t+1 >= 3,05_history_calendar_weather_borough,test,123,40,52,13.872816324234009,0.3454501334627518,True,True,False,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
124974,13715,0.10974282650791364,0.59,28856,0.2308960263734857,0.25724286110341005,0.5412322274881517,0.34873505437974206,0.2788470467397719,0.770459096703862,0.4536,0.3730196831493039,0.32181148983837415,0.1898276290347884,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,validation,123,40,309,14.904364109039307,0.34873505437974206,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
122616,13562,0.11060546747569648,0.59,29796,0.2430025445292621,0.25694724124043494,0.5645185075947501,0.3531528207020619,0.30022213852329677,0.7775469126996629,0.5207823960880196,0.39047463709019736,0.3353449681944218,0.1928352840243808,T2_min_count_3,T0 AND count_t+1 >= 3,06_history_calendar_weather_nta_fe,test,123,40,309,14.904364109039307,0.34873505437974206,True,False,True,False,"rolling_8w_mean, rolling_8w_std, rolling_8w_sum, ratio_to_8w_mean"
