nta2020,ntaname,boroname,nta_area_km2,poi_total_count,poi_density_per_km2,poi_unique_semantic_category_count,poi_semantic_entropy_norm,poi_mixed_use_index,poi_dominant_semantic_category,poi_dominant_semantic_category_share,poi_commercial_activity_count,poi_daily_activity_count,poi_social_infrastructure_count,poi_mobility_access_count,poi_recreation_environment_count,poi_safety_public_service_count
MN0203,West Village,Manhattan,1.338545038430027,611,456.46577624062536,12,0.5754957963001703,0.6902531601490407,food_drink,0.5008183306055647,353,434,29,76,125,2
BK0802,Crown Heights (North),Brooklyn,3.2883172682924755,592,180.03129007907677,11,0.6739930750156033,0.808008811176041,transport,0.2668918918918919,232,428,50,158,42,2
QN0301,Jackson Heights,Queens,3.6505226615363098,586,160.52495884339584,11,0.6706884981517365,0.8028282216449814,food_drink,0.2815699658703072,255,443,44,161,57,2
SI0202,New Dorp-Midland Beach,Staten Island,5.772816261095731,583,100.9905691835308,10,0.6118584931237687,0.7568294354921754,recreation_green,0.38421955403087477,141,334,64,140,224,3
QN0201,Long Island City-Hunters Point,Queens,2.562166568350019,559,218.1747302869478,12,0.6640195886540644,0.7838428576457449,transport,0.3220035778175313,203,392,37,180,68,3
BK0401,Bushwick (West),Brooklyn,2.1479796470688544,547,254.65790644079866,11,0.6190920477948713,0.7529853714293354,food_drink,0.40219378427787933,319,453,34,113,35,6
BK1302,Coney Island-Sea Gate,Brooklyn,4.4183943420173275,540,122.2163433591239,10,0.6659903560649745,0.794437585733882,transport,0.3333333333333333,106,300,51,180,115,2
QN0103,Astoria (Central),Queens,1.9576989576332555,538,274.81242603837865,11,0.6087854062485976,0.7312433493180028,food_drink,0.45539033457249073,347,445,37,83,23,2
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,5.883732757675332,536,91.09863110298267,9,0.6337270339325083,0.7758548674537759,transport,0.36380597014925375,159,377,34,195,40,0
MN0701,Upper West Side-Lincoln Square,Manhattan,1.466734899408067,536,365.437544450817,11,0.7073248935975239,0.8123398863889508,transport,0.2891791044776119,212,401,68,155,82,5
BK1101,Bensonhurst,Brooklyn,4.515512740126462,527,116.70878377042091,9,0.6760310396630475,0.8148374854624472,food_drink,0.2523719165085389,244,383,41,119,26,1
