target_definition,split,volume_decile,rows,rolling_8w_mean_min,rolling_8w_mean_median,rolling_8w_mean_max,positive_rows,positive_share,precision,recall,f1,pr_auc,alert_rate,precision_at_1pct,precision_at_5pct
T3_mu8w_ge_1_eligible,test,D1,18943,1.0,1.625,2.5,2592,0.13683154727339913,0.2693467336683417,0.5169753086419753,0.35416941984934586,0.29000855900279093,0.2626299952489046,0.5210526315789473,0.410337552742616
T3_mu8w_ge_1_eligible,test,D2,18942,2.5,3.625,4.875,2809,0.14829479463625805,0.26247660636306924,0.5991456034175864,0.3650363301160395,0.3011746001952011,0.3385070214338507,0.5052631578947369,0.379746835443038
T3_mu8w_ge_1_eligible,test,D3,18942,4.875,6.125,7.75,2773,0.1463942561503537,0.2628533641924285,0.573386224305806,0.3604624801632283,0.31660256925862684,0.3193432583676486,0.5789473684210527,0.43354430379746833
T3_mu8w_ge_1_eligible,test,D4,18942,7.75,9.375,11.25,2739,0.1445993031358885,0.26862502211997874,0.5542168674698795,0.36185935637663885,0.31211238471677033,0.29833174955126174,0.5368421052631579,0.41561181434599154
T3_mu8w_ge_1_eligible,test,D5,18943,11.25,13.375,15.75,2494,0.1316581322916117,0.26180257510729615,0.5625501202886929,0.35731567553801097,0.30545703991970674,0.28290133558570446,0.5210526315789473,0.4356540084388186
T3_mu8w_ge_1_eligible,test,D6,18942,15.75,18.625,22.375,2376,0.1254355400696864,0.2595606183889341,0.5370370370370371,0.3499725726823917,0.28460322940177135,0.25952908879738146,0.4789473684210526,0.37763713080168776
T3_mu8w_ge_1_eligible,test,D7,18942,22.375,27.125,33.125,2428,0.1281807623271038,0.27812946702062485,0.5609555189456342,0.37187713310580206,0.32242371520099705,0.25852602681870973,0.5789473684210527,0.4430379746835443
T3_mu8w_ge_1_eligible,test,D8,18942,33.125,41.25,52.625,2533,0.13372399957765813,0.29107715525372574,0.6091590998815634,0.39392392136839416,0.3595835317052571,0.279854292049414,0.6368421052631579,0.5031645569620253
T3_mu8w_ge_1_eligible,test,D9,18942,52.625,69.25,95.0,2614,0.13800021117094288,0.2909385696270942,0.6178270849273144,0.39559093692590325,0.36252095200272905,0.2930524759793052,0.631578947368421,0.4873417721518987
T3_mu8w_ge_1_eligible,test,D10,18943,95.0,140.875,9050.5,2542,0.13419204983371166,0.3089059580651858,0.5853658536585366,0.4044027721157766,0.3814934775164984,0.2542891833394922,0.7263157894736842,0.5073839662447257
