year,complaint_type,rows,period
2017,Noise - Helicopter,1053,2015-2019
2017,Overflowing Litter Baskets,1007,2015-2019
2017,Noise - House of Worship,904,2015-2019
2017,Sweeping/Missed,883,2015-2019
2017,Recycling Enforcement,830,2015-2019
2017,Unleashed Dog,764,2015-2019
2017,Borough Office,736,2015-2019
2017,Panhandling,667,2015-2019
2017,Mosquitoes,659,2015-2019
2017,Unsanitary Pigeon Condition,624,2015-2019
2017,Urinating in Public,516,2015-2019
2017,Day Care,510,2015-2019
2017,DPR Internal,474,2015-2019
2017,For Hire Vehicle Report,471,2015-2019
2017,Violation of Park Rules,443,2015-2019
2017,Facades,423,2015-2019
2017,Animal in a Park,417,2015-2019
2017,Bike/Roller/Skate Chronic,409,2015-2019
2017,Mold,346,2015-2019
2017,Public Payphone Complaint,326,2015-2019
2017,Quality of Life,326,2015-2019
2017,Cranes and Derricks,317,2015-2019
2017,Adopt-A-Basket,317,2015-2019
2017,Senior Center Complaint,295,2015-2019
2017,Investigations and Discipline (IAD),289,2015-2019
2017,Found Property,286,2015-2019
2017,Sweeping/Inadequate,276,2015-2019
2017,Illegal Animal Kept as Pet,260,2015-2019
2017,Executive Inspections,255,2015-2019
2017,Scaffold Safety,244,2015-2019
2017,Illegal Fireworks,239,2015-2019
2017,Bridge Condition,232,2015-2019
2017,LinkNYC,222,2015-2019
2017,Bus Stop Shelter Placement,218,2015-2019
2017,FATF,214,2015-2019
2017,Collection Truck Noise,196,2015-2019
2017,Harboring Bees/Wasps,187,2015-2019
2017,Beach/Pool/Sauna Complaint,165,2015-2019
2017,Disorderly Youth,160,2015-2019
2017,Poison Ivy,160,2015-2019
2017,Posting Advertisement,138,2015-2019
2017,Plant,126,2015-2019
2017,Pet Shop,121,2015-2019
2017,Drinking Water,120,2015-2019
2017,Electronics Waste Appointment,104,2015-2019
2017,Bike Rack Condition,102,2015-2019
2017,Tattooing,100,2015-2019
2017,Special Natural Area District (SNAD),97,2015-2019
2017,City Vehicle Placard Complaint,86,2015-2019
2017,Municipal Parking Facility,85,2015-2019
2017,Unsanitary Animal Facility,74,2015-2019
2017,FCST,58,2015-2019
2017,Illegal Animal Sold,57,2015-2019
2017,Animal Facility - No Permit,57,2015-2019
2017,Public Toilet,56,2015-2019
2017,Cooling Tower,32,2015-2019
2017,Lifeguard,30,2015-2019
2017,Window Guard,25,2015-2019
2017,Overflowing Recycling Baskets,22,2015-2019
2017,Transportation Provider Complaint,19,2015-2019
2017,Calorie Labeling,13,2015-2019
2017,Bottled Water,11,2015-2019
2017,Legal Services Provider Complaint,11,2015-2019
2017,Tanning,11,2015-2019
2017,Taxpayer Advocate Inquiry,9,2015-2019
2017,ATF,7,2015-2019
2017,X-Ray Machine/Equipment,7,2015-2019
2017,Radioactive Material,6,2015-2019
2017,Forensic Engineering,5,2015-2019
