target_definition,fold_id,validation_year,test_year,split,calibration_method,bin_id,bin_lower,bin_upper,rows,mean_score,observed_rate,abs_gap
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,platt,8,0.7000000000000001,0.8,0,,,
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,platt,9,0.8,0.9,0,,,
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,platt,10,0.9,1.0,0,,,
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,platt,1,0.0,0.1,40812,0.055351698606101944,0.05699304126237381,0.0016413426562718672
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,platt,2,0.1,0.2,23924,0.14434773930641637,0.13367329877946832,0.010674440526948048
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,platt,3,0.2,0.30000000000000004,13184,0.24597743704339098,0.2033525485436893,0.04262488849970167
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,platt,4,0.30000000000000004,0.4,7756,0.34536079569692146,0.2806859205776173,0.06467487511930414
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,platt,5,0.4,0.5,4341,0.4442462807360848,0.37318590186592954,0.07106037887015526
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,platt,6,0.5,0.6000000000000001,1972,0.5431402814113555,0.46551724137931033,0.07762304003204518
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,platt,7,0.6000000000000001,0.7000000000000001,469,0.6253166733244472,0.55863539445629,0.06668127886815722
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,platt,8,0.7000000000000001,0.8,0,,,
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,platt,9,0.8,0.9,0,,,
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,platt,10,0.9,1.0,0,,,
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,isotonic,1,0.0,0.1,36681,0.05245222613887299,0.05245222322183147,2.917041518057939e-09
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,isotonic,2,0.1,0.2,26598,0.13963455898939772,0.1396345589893977,2.7755575615628914e-17
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,isotonic,3,0.2,0.30000000000000004,13661,0.2416367762242881,0.2416367762242881,0.0
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,isotonic,4,0.30000000000000004,0.4,6942,0.3464419475655431,0.3464419475655431,0.0
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,isotonic,5,0.4,0.5,3625,0.4595862068965517,0.4595862068965517,0.0
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,isotonic,6,0.5,0.6000000000000001,750,0.5693333333333332,0.5693333333333334,1.1102230246251565e-16
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,isotonic,7,0.6000000000000001,0.7000000000000001,891,0.6341189674523008,0.6341189674523008,0.0
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,isotonic,8,0.7000000000000001,0.8,399,0.7243107769423559,0.7243107769423559,0.0
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,isotonic,9,0.8,0.9,237,0.8059071729957806,0.8059071729957806,0.0
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,validation,isotonic,10,0.9,1.0,2,0.999999,1.0,1.0000000000287557e-06
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,isotonic,1,0.0,0.1,36480,0.055038594035803516,0.05235745614035088,0.0026811378954526358
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,isotonic,2,0.1,0.2,29310,0.13917910109076628,0.1299897645854657,0.009189336505300572
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,isotonic,3,0.2,0.30000000000000004,14006,0.24123642965928,0.21240896758532057,0.02882746207395942
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,isotonic,4,0.30000000000000004,0.4,6721,0.3460853613870421,0.29236720726082427,0.05371815412621783
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,isotonic,5,0.4,0.5,3600,0.45967788972700446,0.38333333333333336,0.0763445563936711
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,isotonic,6,0.5,0.6000000000000001,756,0.5694065716913048,0.45634920634920634,0.11305736534209848
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,isotonic,7,0.6000000000000001,0.7000000000000001,882,0.6349248458891545,0.47278911564625853,0.16213573024289601
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,isotonic,8,0.7000000000000001,0.8,427,0.7248861195506002,0.5362997658079626,0.18858635374263766
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,isotonic,9,0.8,0.9,275,0.8062491273860902,0.5490909090909091,0.25715821829518115
T3_mu8w_ge_1_eligible,fold_2021,2020,2021,test,isotonic,10,0.9,1.0,1,0.999999,0.0,0.999999
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,uncalibrated,1,0.0,0.1,5026,0.06012378461697685,0.009749303621169917,0.050374480995806936
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,uncalibrated,2,0.1,0.2,8297,0.15198258483767998,0.028805592382788958,0.12317699245489103
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,uncalibrated,3,0.2,0.30000000000000004,10355,0.2512247245483772,0.055721873491067116,0.19550285105731008
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,uncalibrated,4,0.30000000000000004,0.4,12252,0.3515241876263345,0.08521057786483839,0.2663136097614961
T3_mu8w_ge_1_eligible,fold_2022,2021,2022,validation,uncalibrated,5,0.4,0.5,13410,0.45071862842828764,0.11155853840417598,0.3391600900241116
